School ID ,VisitorCheckInAndBadges,BuildingAccessControlled,GroundsAccessControlled,MetalDetectors,RandomMetalDetectors,ClosedCampusLunch,RandomDogSniff,ContrabandSweeps,AthleteDrugTesting,ExtracurricularDrugTesting,Uniforms,DressCode,Lockers,SilentAlarms,ClearBags,ElecNotifSystem,StudentPhotoID,ThreatReportingSystem,StaffPhotoID,SecurityCamera,ClassTelephones,TwoWayRadios,LimitedSocialNetwork,ProhibitedPhones,PreventionTraining,PeerMediation,BehavioralModification,StudentCourt,StudentCounseling,RestorativeCircles,IndivMentoringStudents,IndivMentoringAdults,EnrichmentActivities,SocialEmotionalTraining,CommunitySense,ThreatAssessmentTeam,LGBTQGroup,DisabilityGroup,CulturalDiversityGroup,ParentTraining,SchoolParentPrograms,LawEnforcementSchool,LawEnforcementActivities,LawEnforcementProblemParticipation,LawEnforcementPreventionParticipation,LawEnforcementStudentMentoring,LawEnforcementTeaching,LawEnforcementReporting,LawEnforcementDisciplinePolicies,LawEnforcementArrestPolicies,LawEnforcementReportingPolicies,MentalHealthTreatment1,MentalHealthTreatment2,TeacherTrainingClassroomMgmt,TeacherTrainingBullying,TeacherTrainingViolence,TeacherTrainingDA,TeacherTrainingSafety,TeacherTrainingIntervention,TeacherTrainingWarningSigns,TeacherTrainingDAAbuse,TeacherTrainingBehavioralIntervention,TeacherTrainingCrisisPrevention,SchoolShootings,Arrests,HateCrimes,RacialTensions,StudentBullying,StudentSexualHarassment,VerbalAbuse,SexualOrientationHarassment,WidespreadDisorder,GenderIdentityHarassment,ActsofDisrespect,GangActivities,PctLimitedEnglish,PctSpecialEd,PctBelow15Percentile,PctLikelyCollege,PctAcademicAchievement,ClassroomChangeAvg,StudentAreaCrime,SchoolAreaCrime,PctAverageDailyAttendance,TotalDisciplinaryActions,TotalIncidentsReported,TotalIncidentsReportedPolice,TotalSeriousViolentIncidents,TotalSeriousViolentIncidentsPolice,TotalSpecializedTransfers,TotalViolentIncidents,TotalViolentIncidentsPolice,TotalFirearmActions,TotalDrugActions,TotalWeaponActions,TotalDisruptions,TotalFightActions,TotalAlcActions,FTSecurityCount,PTSecurityCount,Urbanicity,GradeLevel,SchoolSize,PctWhiteStudents
1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,1,1,1,0,0,1,2,4,3,4,4,5,4,5,4,5,2,17,30,50,75,6,2,3,94,4,12,0,0,0,0,10,0,0,0,0,0,4,0,0,0,4,1,2,2
2,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,1,0,1,1,0,1,2,5,4,5,5,5,5,5,5,5,25,2,0,90,90,6,2,2,95,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,2,4
3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,1,1,1,1,0,1,2,4,4,5,5,5,5,5,5,5,5,9,18,52,68,6,2,2,95,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,1,2,3
4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,0,0,0,0,0,0,1,2,4,4,5,5,4,5,5,5,5,61,9,15,27,50,2,2,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4
8,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,1,0,1,2,3,2,5,5,5,5,5,3,5,35,8,40,35,75,5,3,3,85,0,4,0,0,0,0,4,0,0,0,0,0,0,0,1,0,4,1,2,4
9,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,NA,NA,NA,0,1,1,1,1,0,1,1,1,0,1,1,0,1,2,5,4,5,4,5,5,5,4,5,10,10,8,50,60,4,3,3,95,0,5,0,1,0,0,2,0,0,0,0,2,0,0,0,1,4,1,2,3
10,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,1,1,1,1,1,1,1,0,0,1,1,1,0,1,2,4,4,4,4,5,4,4,4,5,2,10,10,75,80,2,3,3,89,1,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,4,1,2,2
12,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,2,5,4,5,5,5,5,5,4,5,5,9,15,80,80,2,3,3,96,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,1,2,2
13,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,0,1,0,1,1,0,1,0,1,0,1,1,0,1,2,4,3,5,4,5,5,5,4,5,0,13,30,30,50,1,3,3,95,28,22,0,0,0,0,22,0,0,0,0,0,28,0,0,3,4,1,2,1
14,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,NA,NA,NA,0,1,1,1,1,0,1,1,1,0,1,1,0,1,2,4,3,4,5,5,5,5,4,5,30,8,40,60,70,4,2,3,95,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,1,2,4
