VisitorCheckInAndBadges,SchoolShootings,Arrests,HateCrimes,RacialTensions,StudentBullying,StudentSexualHarassment,VerbalAbuse,SexualOrientationHarassment,WidespreadDisorder,GenderIdentityHarassment,ActsofDisrespect,GangActivities,PctLimitedEnglish,PctSpecialEd,PctBelow15Percentile,PctLikelyCollege,PctAcademicAchievement,ClassroomChangeAvg,StudentAreaCrime,SchoolAreaCrime,PctAverageDailyAttendance,TotalDisciplinaryActions,TotalIncidentsReported,TotalIncidents,TotalIncidentsReportedPolice,TotalSeriousViolentIncidents,TotalSeriousViolentIncidentsPolice,TotalSpecializedTransfers,TotalViolentIncidents,TotalViolentIncidentsPolice,TotalFirearmActions,TotalDrugActions,TotalWeaponActions,TotalDisruptions,TotalFightActions,TotalAlcActions,FTSecurityCount,PTSecurityCount,Urbanicity,GradeLevel,SchoolSize,PctWhiteStudents,SchoolSecurity,SchoolProceduresRules,SchoolPreventionProgram,SchoolMentalHealthServices,SchoolTrainingProgram
1,0,1,2,4,3,4,4,5,4,5,4,5,2,17,30,50,75,6,2,3,94,4,12,16,0,0,0,0,10,0,0,0,0,0,4,0,0,0,4,1,2,2,5,4,4,0,7
0,0,1,2,5,4,5,5,5,5,5,5,5,25,2,0,90,90,6,2,2,95,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,2,4,5,5,4,0,7
1,0,1,2,4,4,5,5,5,5,5,5,5,5,9,18,52,68,6,2,2,95,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,1,2,3,8,3,10,0,9
1,0,1,2,4,4,5,5,4,5,5,5,5,61,9,15,27,50,2,2,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4,6,4,6,0,4
1,0,1,2,3,2,5,5,5,5,5,3,5,35,8,40,35,75,5,3,3,85,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,1,0,4,1,2,4,9,4,11,0,10
1,0,1,2,5,4,5,4,5,5,5,4,5,10,10,8,50,60,4,3,3,95,0,5,5,0,1,0,0,2,0,0,0,0,2,0,0,0,1,4,1,2,3,7,5,7,1,8
1,0,1,2,4,4,4,4,5,4,4,4,5,2,10,10,75,80,2,3,3,89,1,3,4,1,0,0,0,1,0,0,0,0,1,1,0,1,0,4,1,2,2,7,5,15,2,8
1,0,1,2,5,4,5,5,5,5,5,4,5,5,9,15,80,80,2,3,3,96,2,8,10,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,1,2,2,9,3,11,0,8
1,0,1,2,4,3,5,4,5,5,5,4,5,0,13,30,30,50,1,3,3,95,28,22,50,0,0,0,0,22,0,0,0,0,0,28,0,0,3,4,1,2,1,4,4,8,1,6
1,0,1,2,4,3,4,5,5,5,5,4,5,30,8,40,60,70,4,2,3,95,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,1,2,4,7,6,7,1,8
